"","artist_name","album_release_date","danceability","valence","energy","track_name","album_name"
"1","Doja Cat","2023-09-22",0.864,0.726,0.556,"Paint The Town Red","Scarlet"
"2","Doja Cat","2023-09-22",0.831,0.313,0.362,"Demons","Scarlet"
"3","Doja Cat","2023-09-22",0.804,0.192,0.656,"Wet Vagina","Scarlet"
"4","Doja Cat","2023-09-22",0.764,0.643,0.72,"Fuck The Girls (FTG)","Scarlet"
"5","Doja Cat","2023-09-22",0.854,0.794,0.808,"Ouchies","Scarlet"
"6","Doja Cat","2023-09-22",0.564,0.864,0.796,"97","Scarlet"
"7","Doja Cat","2023-09-22",0.885,0.805,0.576,"Gun","Scarlet"
"8","Doja Cat","2023-09-22",0.933,0.552,0.533,"Go Off","Scarlet"
"9","Doja Cat","2023-09-22",0.763,0.409,0.441,"Shutcho","Scarlet"
"10","Doja Cat","2023-09-22",0.75,0.392,0.674,"Agora Hills","Scarlet"
"11","Doja Cat","2023-09-22",0.472,0.815,0.79,"Can't Wait","Scarlet"
"12","Doja Cat","2023-09-22",0.509,0.593,0.638,"Often","Scarlet"
"13","Doja Cat","2023-09-22",0.597,0.649,0.622,"Love Life","Scarlet"
"14","Doja Cat","2023-09-22",0.632,0.501,0.706,"Skull And Bones","Scarlet"
"15","Doja Cat","2023-09-22",0.758,0.395,0.587,"Attention","Scarlet"
"16","Doja Cat","2023-09-22",0.778,0.377,0.626,"Balut","Scarlet"
"17","Doja Cat","2023-09-22",0.895,0.375,0.486,"WYM Freestyle","Scarlet"
"18","Doja Cat","2021-06-27",0.824,0.881,0.764,"Woman","Planet Her (Deluxe)"
"19","Doja Cat","2021-06-27",0.733,0.536,0.862,"Naked","Planet Her (Deluxe)"
"20","Doja Cat","2021-06-27",0.619,0.558,0.707,"Payday (feat. Young Thug)","Planet Her (Deluxe)"
"21","Doja Cat","2021-06-27",0.912,0.793,0.655,"Get Into It (Yuh)","Planet Her (Deluxe)"
"22","Doja Cat","2021-06-27",0.664,0.194,0.609,"Need to Know","Planet Her (Deluxe)"
"23","Doja Cat","2021-06-27",0.683,0.45,0.615,"I Don't Do Drugs (feat. Ariana Grande)","Planet Her (Deluxe)"
"24","Doja Cat","2021-06-27",0.734,0.529,0.45,"Love To Dream","Planet Her (Deluxe)"
"25","Doja Cat","2021-06-27",0.828,0.436,0.621,"You Right","Planet Her (Deluxe)"
"26","Doja Cat","2021-06-27",0.678,0.176,0.531,"Been Like This","Planet Her (Deluxe)"
"27","Doja Cat","2021-06-27",0.842,0.285,0.522,"Options (feat. JID)","Planet Her (Deluxe)"
"28","Doja Cat","2021-06-27",0.855,0.619,0.488,"Ain't Shit","Planet Her (Deluxe)"
"29","Doja Cat","2021-06-27",0.82,0.698,0.656,"Imagine","Planet Her (Deluxe)"
"30","Doja Cat","2021-06-27",0.691,0.746,0.656,"Alone","Planet Her (Deluxe)"
"31","Doja Cat","2021-06-27",0.764,0.781,0.705,"Kiss Me More (feat. SZA)","Planet Her (Deluxe)"
"32","Doja Cat","2021-06-27",0.837,0.502,0.567,"You Right - Extended","Planet Her (Deluxe)"
"33","Doja Cat","2021-06-27",0.829,0.67,0.761,"Up And Down","Planet Her (Deluxe)"
"34","Doja Cat","2021-06-27",0.779,0.866,0.558,"Tonight (feat. Eve)","Planet Her (Deluxe)"
"35","Doja Cat","2021-06-27",0.722,0.828,0.592,"Ride","Planet Her (Deluxe)"
"36","Doja Cat","2021-06-27",0.592,0.476,0.635,"Why Why (feat. Gunna)","Planet Her (Deluxe)"
"37","Doja Cat","2021-06-25",0.824,0.881,0.764,"Woman","Planet Her"
"38","Doja Cat","2021-06-25",0.733,0.536,0.862,"Naked","Planet Her"
"39","Doja Cat","2021-06-25",0.619,0.558,0.707,"Payday (feat. Young Thug)","Planet Her"
"40","Doja Cat","2021-06-25",0.912,0.793,0.655,"Get Into It (Yuh)","Planet Her"
"41","Doja Cat","2021-06-25",0.664,0.194,0.609,"Need to Know","Planet Her"
"42","Doja Cat","2021-06-25",0.683,0.45,0.615,"I Don't Do Drugs (feat. Ariana Grande)","Planet Her"
"43","Doja Cat","2021-06-25",0.734,0.529,0.45,"Love To Dream","Planet Her"
"44","Doja Cat","2021-06-25",0.828,0.436,0.621,"You Right","Planet Her"
"45","Doja Cat","2021-06-25",0.678,0.176,0.531,"Been Like This","Planet Her"
"46","Doja Cat","2021-06-25",0.842,0.285,0.522,"Options (feat. JID)","Planet Her"
"47","Doja Cat","2021-06-25",0.855,0.619,0.488,"Ain't Shit","Planet Her"
"48","Doja Cat","2021-06-25",0.82,0.698,0.656,"Imagine","Planet Her"
"49","Doja Cat","2021-06-25",0.691,0.746,0.656,"Alone","Planet Her"
"50","Doja Cat","2021-06-25",0.764,0.781,0.705,"Kiss Me More (feat. SZA)","Planet Her"
"51","Doja Cat","2019-11-07",0.917,0.818,0.657,"Cyber Sex","Hot Pink"
"52","Doja Cat","2019-11-07",0.807,0.592,0.783,"Won't Bite (feat. Smino)","Hot Pink"
"53","Doja Cat","2019-11-07",0.651,0.686,0.724,"Rules","Hot Pink"
"54","Doja Cat","2019-11-07",0.695,0.484,0.825,"Bottom Bitch","Hot Pink"
"55","Doja Cat","2019-11-07",0.787,0.779,0.673,"Say So","Hot Pink"
"56","Doja Cat","2019-11-07",0.879,0.405,0.498,"Like That (feat. Gucci Mane)","Hot Pink"
"57","Doja Cat","2019-11-07",0.603,0.403,0.741,"Talk Dirty","Hot Pink"
"58","Doja Cat","2019-11-07",0.775,0.548,0.708,"Addiction","Hot Pink"
"59","Doja Cat","2019-11-07",0.749,0.189,0.463,"Streets","Hot Pink"
"60","Doja Cat","2019-11-07",0.559,0.289,0.63,"Shine","Hot Pink"
"61","Doja Cat","2019-11-07",0.674,0.509,0.759,"Better Than Me","Hot Pink"
"62","Doja Cat","2019-11-07",0.785,0.484,0.652,"Juicy","Hot Pink"
"63","Doja Cat","2019-03-01",0.71,0.7,0.71,"Go To Town","Amala (Deluxe Version)"
"64","Doja Cat","2019-03-01",0.722,0.466,0.864,"Cookie Jar","Amala (Deluxe Version)"
"65","Doja Cat","2019-03-01",0.664,0.125,0.637,"Roll With Us","Amala (Deluxe Version)"
"66","Doja Cat","2019-03-01",0.797,0.138,0.444,"Wine Pon You (feat. Konshens)","Amala (Deluxe Version)"
"67","Doja Cat","2019-03-01",0.747,0.153,0.734,"Fancy","Amala (Deluxe Version)"
"68","Doja Cat","2019-03-01",0.713,0.379,0.675,"Wild Beach","Amala (Deluxe Version)"
"69","Doja Cat","2019-03-01",0.594,0.146,0.504,"Morning Light","Amala (Deluxe Version)"
"70","Doja Cat","2019-03-01",0.689,0.209,0.516,"Candy","Amala (Deluxe Version)"
"71","Doja Cat","2019-03-01",0.75,0.595,0.783,"Game","Amala (Deluxe Version)"
"72","Doja Cat","2019-03-01",0.653,0.323,0.632,"Casual","Amala (Deluxe Version)"
"73","Doja Cat","2019-03-01",0.556,0.442,0.745,"Down Low","Amala (Deluxe Version)"
"74","Doja Cat","2019-03-01",0.717,0.691,0.468,"Body Language","Amala (Deluxe Version)"
"75","Doja Cat","2019-03-01",0.797,0.197,0.556,"All Nighter","Amala (Deluxe Version)"
