"","artist_name","album_release_date","danceability","valence","energy","track_name","album_name"
"1","Fleetwood Mac","2023-09-08",0.528,0.637,0.833,"Say You Love Me - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"2","Fleetwood Mac","2023-09-08",0.388,0.682,0.9,"Monday Morning - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"3","Fleetwood Mac","2023-09-08",0.567,0.464,0.828,"Dreams - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"4","Fleetwood Mac","2023-09-08",0.29,0.446,0.813,"Oh Well (Pt. 1) - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"5","Fleetwood Mac","2023-09-08",0.341,0.213,0.871,"Rhiannon - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"6","Fleetwood Mac","2023-09-08",0.302,0.285,0.501,"Oh Daddy - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"7","Fleetwood Mac","2023-09-08",0.525,0.723,0.525,"Never Going Back Again - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"8","Fleetwood Mac","2023-09-08",0.329,0.376,0.312,"Landslide - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"9","Fleetwood Mac","2023-09-08",0.463,0.649,0.793,"Over My Head - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"10","Fleetwood Mac","2023-09-08",0.448,0.438,0.533,"Gold Dust Woman - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"11","Fleetwood Mac","2023-09-08",0.506,0.615,0.88,"You Make Loving Fun - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"12","Fleetwood Mac","2023-09-08",0.338,0.297,0.819,"I'm so Afraid - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"13","Fleetwood Mac","2023-09-08",0.455,0.326,0.952,"Go Your Own Way - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"14","Fleetwood Mac","2023-09-08",0.376,0.374,0.696,"World Turning - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"15","Fleetwood Mac","2023-09-08",0.284,0.0859,0.986,"Blue Letter - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"16","Fleetwood Mac","2023-09-08",0.355,0.188,0.912,"The Chain - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"17","Fleetwood Mac","2023-09-08",0.495,0.405,0.938,"Second Hand News - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"18","Fleetwood Mac","2023-09-08",0.384,0.185,0.274,"Songbird - Live at the Fabulous Forum, Inglewood, CA, 08/29/77","Rumours Live"
"19","Fleetwood Mac","2019-11-15",0.579,0.754,0.802,"Madison Blues (Version 1) [Live] [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"20","Fleetwood Mac","2019-11-15",0.551,0.483,0.501,"Something Inside of Me (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"21","Fleetwood Mac","2019-11-15",0.779,0.904,0.696,"The Woman That I Love (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"22","Fleetwood Mac","2019-11-15",0.527,0.396,0.183,"Worried Dream (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"23","Fleetwood Mac","2019-11-15",0.636,0.729,0.692,"Dust My Blues (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"24","Fleetwood Mac","2019-11-15",0.722,0.621,0.351,"Got to Move (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"25","Fleetwood Mac","2019-11-15",0.507,0.426,0.125,"Trying So Hard to Forget (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"26","Fleetwood Mac","2019-11-15",0.497,0.839,0.747,"Instrumental (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"27","Fleetwood Mac","2019-11-15",0.536,0.485,0.226,"Have You Ever Loved a Woman (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"28","Fleetwood Mac","2019-11-15",0.546,0.891,0.824,"Lazy Poker Blues (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"29","Fleetwood Mac","2019-11-15",0.517,0.919,0.721,"Stop Messing 'Round (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"30","Fleetwood Mac","2019-11-15",0.672,0.737,0.304,"I Loved Another Woman (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"31","Fleetwood Mac","2019-11-15",0.574,0.747,0.483,"I Believe My Time Ain't Long (Version 1) [Live] [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"32","Fleetwood Mac","2019-11-15",0.628,0.473,0.406,"Sun Is Shining (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"33","Fleetwood Mac","2019-11-15",0.366,0.583,0.727,"Long Tall Sally (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"34","Fleetwood Mac","2019-11-15",0.777,0.608,0.572,"Willie and the Hand Jive (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"35","Fleetwood Mac","2019-11-15",0.438,0.452,0.349,"I Need Your Love So Bad (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"36","Fleetwood Mac","2019-11-15",0.59,0.659,0.508,"I Believe My Time Ain't Long (Version 2) [Live] [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"37","Fleetwood Mac","2019-11-15",0.382,0.725,0.571,"Shake Your Money Maker (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"38","Fleetwood Mac","2019-11-15",0.444,0.352,0.557,"Before the Beginning (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"39","Fleetwood Mac","2019-11-15",0.453,0.604,0.857,"Only You (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"40","Fleetwood Mac","2019-11-15",0.5,0.666,0.76,"Madison Blues (Version 2) [Live] [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"41","Fleetwood Mac","2019-11-15",0.553,0.776,0.499,"Can't Stop Lovin' (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"42","Fleetwood Mac","2019-11-15",0.378,0.35,0.581,"The Green Manalishi (With the Two Prong Crown) (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"43","Fleetwood Mac","2019-11-15",0.188,0.196,0.269,"Albatross (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"44","Fleetwood Mac","2019-11-15",0.481,0.185,0.511,"World in Harmony (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"45","Fleetwood Mac","2019-11-15",0.388,0.45,0.799,"Sandy Mary (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"46","Fleetwood Mac","2019-11-15",0.458,0.545,0.838,"Only You (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"47","Fleetwood Mac","2019-11-15",0.421,0.298,0.396,"World in Harmony (Version 2) [Live] [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
"48","Fleetwood Mac","2019-11-15",0.555,0.487,0.61,"I Can't Hold Out (Live) [Remastered]","Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)"
