"","artist_name","album_release_date","danceability","valence","energy","track_name","album_name"
"1","Peso Pluma","2023-06-29",0.702,0.86,0.68,"ROSA PASTEL","GÉNESIS"
"2","Peso Pluma","2023-06-29",0.747,0.793,0.629,"LUNA","GÉNESIS"
"3","Peso Pluma","2023-06-29",0.484,0.783,0.746,"77","GÉNESIS"
"4","Peso Pluma","2023-06-29",0.758,0.915,0.816,"RUBICON","GÉNESIS"
"5","Peso Pluma","2023-06-29",0.667,0.781,0.786,"CARNAL","GÉNESIS"
"6","Peso Pluma","2023-06-29",0.782,0.869,0.793,"LAS MORRAS","GÉNESIS"
"7","Peso Pluma","2023-06-29",0.738,0.734,0.843,"GAVILÁN II","GÉNESIS"
"8","Peso Pluma","2023-06-29",0.632,0.862,0.729,"VVS","GÉNESIS"
"9","Peso Pluma","2023-06-29",0.809,0.903,0.87,"SU CASA","GÉNESIS"
"10","Peso Pluma","2023-06-29",0.646,0.873,0.736,"LADY GAGA","GÉNESIS"
"11","Peso Pluma","2023-06-29",0.688,0.744,0.821,"ZAPATA","GÉNESIS"
"12","Peso Pluma","2023-06-29",0.784,0.893,0.826,"PRC","GÉNESIS"
"13","Peso Pluma","2023-06-29",0.736,0.799,0.862,"LA PEOPLE","GÉNESIS"
"14","Peso Pluma","2023-06-29",0.639,0.852,0.676,"NUEVA VIDA","GÉNESIS"
"15","Peso Pluma","2023-06-29",0.557,0.631,0.866,"TULUM","GÉNESIS"
"16","Peso Pluma","2023-06-29",0.77,0.792,0.622,"LAGUNAS","GÉNESIS"
"17","Peso Pluma","2023-06-29",0.782,0.7,0.812,"BYE","GÉNESIS"
"18","Peso Pluma","2021-03-19",0.799,0.814,0.655,"La Melena","Efectos Secundarios"
"19","Peso Pluma","2021-03-19",0.612,0.942,0.625,"Lo Que Me Das","Efectos Secundarios"
"20","Peso Pluma","2021-03-19",0.698,0.85,0.603,"La Encontré","Efectos Secundarios"
"21","Peso Pluma","2021-03-19",0.723,0.478,0.696,"El Chuletas","Efectos Secundarios"
"22","Peso Pluma","2021-03-19",0.723,0.651,0.539,"No Está Facil","Efectos Secundarios"
"23","Peso Pluma","2021-03-19",0.51,0.719,0.445,"Entre Humo y Huesos","Efectos Secundarios"
"24","Peso Pluma","2021-03-19",0.781,0.759,0.353,"Mil Historias","Efectos Secundarios"
"25","Peso Pluma","2021-03-19",0.785,0.781,0.599,"Con Dinero Baila el Perro","Efectos Secundarios"
"26","Peso Pluma","2021-03-19",0.789,0.685,0.663,"Y Qué?","Efectos Secundarios"
"27","Peso Pluma","2021-03-19",0.693,0.794,0.521,"Les Cuesta","Efectos Secundarios"
"28","Peso Pluma","2020-07-04",0.606,0.524,0.572,"La Melena - En Vivo","Disco en Vivo, Vol.2 (En Vivo)"
"29","Peso Pluma","2020-07-04",0.613,0.812,0.529,"Lo Que Me Das - En Vivo","Disco en Vivo, Vol.2 (En Vivo)"
