"","artist_name","album_release_date","danceability","valence","energy","track_name","album_name"
"1","Taylor Swift","2023-10-27",0.757,0.685,0.61,"Welcome To New York (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"2","Taylor Swift","2023-10-27",0.733,0.701,0.733,"Blank Space (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"3","Taylor Swift","2023-10-27",0.511,0.305,0.822,"Style (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"4","Taylor Swift","2023-10-27",0.545,0.206,0.885,"Out Of The Woods (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"5","Taylor Swift","2023-10-27",0.588,0.52,0.721,"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"6","Taylor Swift","2023-10-27",0.636,0.917,0.808,"Shake It Off (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"7","Taylor Swift","2023-10-27",0.67,0.539,0.858,"I Wish You Would (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"8","Taylor Swift","2023-10-27",0.618,0.363,0.683,"Bad Blood (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"9","Taylor Swift","2023-10-27",0.589,0.514,0.674,"Wildest Dreams (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"10","Taylor Swift","2023-10-27",0.758,0.538,0.691,"How You Get The Girl (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"11","Taylor Swift","2023-10-27",0.471,0.0567,0.509,"This Love (Taylor’s Version)","1989 (Taylor's Version) [Deluxe]"
"12","Taylor Swift","2023-10-27",0.582,0.652,0.788,"I Know Places (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"13","Taylor Swift","2023-10-27",0.772,0.258,0.391,"Clean (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"14","Taylor Swift","2023-10-27",0.464,0.385,0.705,"Wonderland (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"15","Taylor Swift","2023-10-27",0.363,0.477,0.498,"You Are In Love (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"16","Taylor Swift","2023-10-27",0.649,0.698,0.846,"New Romantics (Taylor's Version)","1989 (Taylor's Version) [Deluxe]"
"17","Taylor Swift","2023-10-27",0.591,0.328,0.412,"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]"
"18","Taylor Swift","2023-10-27",0.633,0.164,0.551,"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]"
"19","Taylor Swift","2023-10-27",0.8,0.0831,0.501,"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]"
"20","Taylor Swift","2023-10-27",0.701,0.323,0.625,"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]"
"21","Taylor Swift","2023-10-27",0.595,0.191,0.656,"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]"
